region_id,n_nodes,n_terminals,method,jE_hybrid_vol,jN_hybrid_vol,jS_hybrid_vol,jE_hybrid_risk,jN_hybrid_risk,jS_hybrid_risk,jE_vol_risk,jN_vol_risk,jS_vol_risk,hybrid_distinct,phadj_hybrid,nsteiner_hybrid,phadj_vol,nsteiner_vol,phadj_risk,nsteiner_risk
3,378,3,KMB,0.2857142857142857,0.5714285714285714,0.25,0.0,0.42857142857142855,0.0,0.125,0.5714285714285714,0.25,1,1.0,2,0.8,3,1.0,2
6,271,8,KMB,0.22727272727272727,0.5263157894736842,0.18181818181818182,0.25,0.6923076923076923,0.2,0.08695652173913043,0.42105263157894735,0.0,1,0.9090909090909091,4,0.625,9,1.0,2
8,363,16,KMB,0.2727272727272727,0.6111111111111112,0.3,0.13157894736842105,0.7307692307692307,0.3,0.0392156862745098,0.4864864864864865,0.09523809523809523,1,0.9130434782608695,8,0.48484848484848486,18,1.0,5
9,386,7,KMB,0.5384615384615384,0.8333333333333334,0.6,0.125,0.5384615384615384,0.0,0.0,0.4666666666666667,0.0,1,1.0,3,0.8181818181818182,5,1.0,3
12,121,5,KMB,1.0,1.0,1.0,0.09090909090909091,0.5555555555555556,0.0,0.09090909090909091,0.5555555555555556,0.0,0,1.0,2,1.0,2,1.0,2
14,233,7,KMB,0.6428571428571429,0.9230769230769231,0.8333333333333334,0.25,0.6923076923076923,0.3333333333333333,0.10526315789473684,0.6428571428571429,0.2857142857142857,1,1.0,5,0.8333333333333334,6,1.0,3
16,17,5,ILP,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,1,1.0,1,1.0,1,1.0,1
17,77,5,ILP,0.625,0.875,0.6666666666666666,0.7142857142857143,1.0,1.0,0.4444444444444444,0.875,0.6666666666666666,1,1.0,2,0.8571428571428571,3,1.0,2
18,38,3,ILP,1.0,1.0,1.0,0.0,0.6,0.0,0.0,0.6,0.0,0,1.0,1,1.0,1,1.0,1
19,391,5,KMB,0.14285714285714285,0.3684210526315789,0.14285714285714285,0.3333333333333333,0.6363636363636364,0.3333333333333333,0.09090909090909091,0.3,0.06666666666666667,1,1.0,4,0.5,12,1.0,4
22,27,5,ILP,0.5714285714285714,0.8571428571428571,0.5,1.0,1.0,1.0,0.5714285714285714,0.8571428571428571,0.5,0,1.0,1,1.0,2,1.0,1
23,198,3,KMB,0.16666666666666666,0.5,0.0,1.0,1.0,1.0,0.16666666666666666,0.5,0.0,0,1.0,1,0.75,2,1.0,1
24,136,6,KMB,1.0,1.0,1.0,0.4,0.7777777777777778,0.3333333333333333,0.4,0.7777777777777778,0.3333333333333333,0,1.0,2,1.0,2,1.0,2
25,71,3,ILP,0.0,0.5,0.0,1.0,1.0,1.0,0.0,0.5,0.0,0,1.0,1,0.75,2,1.0,1
27,285,13,KMB,0.1891891891891892,0.5333333333333333,0.17647058823529413,0.10344827586206896,0.7,0.14285714285714285,0.0,0.41935483870967744,0.0,1,0.9411764705882353,5,0.5185185185185185,15,1.0,3
28,9,4,ILP,0.42857142857142855,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.1111111111111111,0.7142857142857143,0.3333333333333333,1,1.0,1,0.6666666666666666,3,1.0,1
29,167,4,KMB,0.2727272727272727,0.6,0.3333333333333333,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,1,1.0,2,0.6666666666666666,6,1.0,2
30,387,8,KMB,0.4375,0.6666666666666666,0.2857142857142857,0.1,0.5,0.0,0.041666666666666664,0.42105263157894735,0.0,1,1.0,3,0.6923076923076923,6,1.0,5
31,158,3,ILP,0.2857142857142857,0.5714285714285714,0.25,1.0,1.0,1.0,0.2857142857142857,0.5714285714285714,0.25,0,1.0,2,0.8,3,1.0,2
32,27,3,ILP,0.125,0.5714285714285714,0.25,1.0,1.0,1.0,0.125,0.5714285714285714,0.25,0,1.0,1,0.6666666666666666,4,1.0,1
33,134,4,ILP,0.5555555555555556,0.7777777777777778,0.6,1.0,1.0,1.0,0.5555555555555556,0.7777777777777778,0.6,0,1.0,3,0.625,5,1.0,3
34,265,4,KMB,0.2,0.5555555555555556,0.2,0.1111111111111111,0.5,0.0,0.09090909090909091,0.4,0.0,1,1.0,2,0.5714285714285714,4,1.0,2
36,146,3,ILP,0.25,0.7142857142857143,0.5,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.25,0.7142857142857143,0.5,1,1.0,2,0.5,4,1.0,2
38,149,3,ILP,1.0,1.0,1.0,0.0,0.6,0.0,0.0,0.6,0.0,0,1.0,1,1.0,1,1.0,1
39,316,3,KMB,0.25,0.5454545454545454,0.375,0.5,0.75,0.6,0.15384615384615385,0.4166666666666667,0.2222222222222222,1,0.6666666666666666,4,0.3333333333333333,7,0.6666666666666666,4
41,132,6,KMB,0.3333333333333333,0.6363636363636364,0.2,0.5555555555555556,1.0,1.0,0.3333333333333333,0.6363636363636364,0.2,1,1.0,2,0.7777777777777778,4,1.0,2
42,27,4,ILP,0.3333333333333333,0.75,0.5,1.0,1.0,1.0,0.3333333333333333,0.75,0.5,0,1.0,2,0.5714285714285714,4,1.0,2
43,178,5,KMB,0.7142857142857143,1.0,1.0,0.3333333333333333,0.75,0.3333333333333333,0.2,0.75,0.3333333333333333,1,1.0,2,0.8333333333333334,2,1.0,2
45,116,6,KMB,1.0,1.0,1.0,0.3333333333333333,0.8,0.5,0.3333333333333333,0.8,0.5,0,1.0,2,1.0,2,1.0,4
48,96,6,KMB,0.7777777777777778,1.0,1.0,0.07692307692307693,0.6,0.0,0.0,0.6,0.0,1,1.0,3,1.0,3,1.0,1
49,38,4,ILP,0.5714285714285714,0.8571428571428571,0.6666666666666666,0.42857142857142855,0.7142857142857143,0.3333333333333333,0.2222222222222222,0.625,0.25,1,1.0,2,1.0,3,1.0,2
50,337,5,KMB,0.25,0.7,0.4,0.5555555555555556,0.7777777777777778,0.5,0.25,0.7,0.4,1,1.0,3,0.625,4,1.0,3
51,237,4,KMB,0.6666666666666666,1.0,1.0,0.42857142857142855,0.7142857142857143,0.3333333333333333,0.42857142857142855,0.7142857142857143,0.3333333333333333,1,1.0,2,0.8,2,1.0,2
53,396,5,KMB,0.4,0.6,0.2,0.09090909090909091,0.5555555555555556,0.0,0.07692307692307693,0.45454545454545453,0.0,1,1.0,2,0.75,4,1.0,2
54,57,3,ILP,0.375,0.625,0.4,1.0,1.0,1.0,0.375,0.625,0.4,0,0.8,3,0.5,4,0.8,3
56,174,4,KMB,0.25,0.5454545454545454,0.2857142857142857,0.0,0.4444444444444444,0.0,0.0,0.3333333333333333,0.0,1,1.0,3,0.5555555555555556,6,1.0,2
58,77,4,ILP,0.0,0.4444444444444444,0.0,0.14285714285714285,0.6666666666666666,0.0,0.0,0.4444444444444444,0.0,1,1.0,1,0.5714285714285714,4,1.0,1
59,120,7,KMB,0.6428571428571429,0.9230769230769231,0.8333333333333334,0.75,0.9166666666666666,0.8,0.5714285714285714,0.8461538461538461,0.6666666666666666,1,0.9090909090909091,5,0.6666666666666666,6,0.9,4
62,64,3,ILP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.75,2,0.75,2,0.75,2
64,265,3,KMB,0.07142857142857142,0.3076923076923077,0.1,0.125,0.5714285714285714,0.25,0.0,0.2,0.0,1,0.75,2,0.2727272727272727,9,0.8,3
66,56,4,ILP,0.0,0.5,0.0,1.0,1.0,1.0,0.0,0.5,0.0,0,1.0,1,0.8333333333333334,3,1.0,1
67,57,3,ILP,0.5,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.2857142857142857,0.5714285714285714,0.25,1,1.0,2,0.8,3,1.0,2
72,112,3,ILP,0.25,0.5,0.2,1.0,1.0,1.0,0.25,0.5,0.2,0,1.0,2,0.5,4,1.0,2
75,78,4,ILP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1,1.0,1,1.0,1
76,60,5,ILP,0.6666666666666666,1.0,1.0,0.42857142857142855,1.0,1.0,0.42857142857142855,1.0,1.0,1,1.0,1,1.0,1,1.0,1
77,91,7,KMB,0.30434782608695654,0.6842105263157895,0.5,0.47058823529411764,0.8,0.625,0.2608695652173913,0.631578947368421,0.4166666666666667,1,0.8461538461538461,7,0.47058823529411764,11,0.8333333333333334,6
79,124,4,ILP,0.0,0.4,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.4,0.0,1,1.0,1,0.5,5,1.0,1
81,343,6,KMB,0.3333333333333333,0.5714285714285714,0.25,0.06666666666666667,0.6363636363636364,0.2,0.0,0.375,0.0,1,1.0,3,0.5833333333333334,7,1.0,3
82,48,3,ILP,0.0,0.42857142857142855,0.0,1.0,1.0,1.0,0.0,0.42857142857142855,0.0,0,1.0,1,0.6,3,1.0,1
84,30,3,ILP,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.5,0.0,0.16666666666666666,0.8,0.5,1,1.0,2,0.75,2,1.0,1
87,94,4,ILP,0.08333333333333333,0.5,0.16666666666666666,1.0,1.0,1.0,0.08333333333333333,0.5,0.16666666666666666,0,1.0,1,0.4444444444444444,6,1.0,1
90,66,3,ILP,1.0,1.0,1.0,0.2,0.6,0.0,0.2,0.6,0.0,0,1.0,1,1.0,1,1.0,1
91,269,4,KMB,0.5,0.7,0.5,0.25,0.5454545454545454,0.2857142857142857,0.2727272727272727,0.6,0.3333333333333333,1,0.75,5,0.5714285714285714,4,0.7142857142857143,4
93,332,13,KMB,0.2777777777777778,0.6,0.29411764705882354,0.3076923076923077,0.8,0.42857142857142855,0.07317073170731707,0.5333333333333333,0.17647058823529413,1,1.0,6,0.5,16,1.0,4
94,207,7,KMB,0.5454545454545454,0.7272727272727273,0.25,0.0,0.5,0.0,0.0,0.4666666666666667,0.0,1,1.0,2,0.8888888888888888,3,1.0,5
95,26,4,ILP,0.1111111111111111,0.5,0.0,1.0,1.0,1.0,0.1111111111111111,0.5,0.0,0,1.0,1,0.8333333333333334,3,1.0,1
96,364,18,KMB,0.47368421052631576,0.7058823529411765,0.375,0.34285714285714286,0.6896551724137931,0.18181818181818182,0.13333333333333333,0.5142857142857142,0.0,1,1.0,9,0.7333333333333333,13,1.0,4
97,140,3,KMB,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.75,2,0.75,2,0.75,2
98,53,6,ILP,0.6666666666666666,0.8888888888888888,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.6,0.0,1,1.0,2,0.875,3,1.0,1
99,133,4,ILP,0.4444444444444444,0.6666666666666666,0.4,0.375,0.8571428571428571,0.6666666666666666,0.09090909090909091,0.5555555555555556,0.2,1,0.8333333333333334,3,0.5714285714285714,4,0.8,2
100,81,4,ILP,0.0,0.4444444444444444,0.0,0.14285714285714285,0.6666666666666666,0.0,0.0,0.4444444444444444,0.0,1,1.0,1,0.5714285714285714,4,1.0,1
101,302,3,KMB,0.5714285714285714,0.8571428571428571,0.75,0.2857142857142857,0.5714285714285714,0.25,0.1111111111111111,0.5,0.2,1,0.8,3,0.6666666666666666,4,0.75,2
103,338,14,KMB,0.25,0.5294117647058824,0.2,0.08823529411764706,0.625,0.1,0.021739130434782608,0.4,0.0,1,0.9,7,0.5666666666666667,17,1.0,4
104,261,5,KMB,0.1875,0.6153846153846154,0.375,0.3333333333333333,0.6363636363636364,0.3333333333333333,0.05555555555555555,0.5,0.2222222222222222,1,1.0,4,0.45454545454545453,7,1.0,4
105,202,6,KMB,0.6666666666666666,0.8888888888888888,0.6666666666666666,0.5555555555555556,0.7777777777777778,0.3333333333333333,0.5,0.7,0.25,1,1.0,2,0.875,3,1.0,2
108,297,3,KMB,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,1.0,2,1.0,2,1.0,2
109,223,9,KMB,0.5,0.6842105263157895,0.4,0.2857142857142857,0.6111111111111112,0.2222222222222222,0.14814814814814814,0.43478260869565216,0.07142857142857142,1,1.0,5,0.7058823529411765,9,1.0,6
111,114,6,KMB,0.2222222222222222,0.6,0.3333333333333333,1.0,1.0,1.0,0.2222222222222222,0.6,0.3333333333333333,0,0.7777777777777778,4,0.46153846153846156,8,0.7777777777777778,4
112,173,3,KMB,0.42857142857142855,0.7142857142857143,0.5,0.0,0.5,0.0,0.0,0.375,0.0,1,1.0,2,0.6666666666666666,4,1.0,1
114,57,5,ILP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1,1.0,1,1.0,1
118,279,3,KMB,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,1.0,2,0.75,2,1.0,2
119,27,3,ILP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1,1.0,1,1.0,1
123,182,4,KMB,0.0,0.36363636363636365,0.0,1.0,1.0,1.0,0.0,0.36363636363636365,0.0,0,1.0,3,0.5714285714285714,4,1.0,3
124,67,3,ILP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1,1.0,1,1.0,1
125,48,5,ILP,0.625,0.875,0.6666666666666666,1.0,1.0,1.0,0.625,0.875,0.6666666666666666,0,1.0,2,0.7142857142857143,3,1.0,2
126,14,4,ILP,1.0,1.0,1.0,0.42857142857142855,0.7142857142857143,0.3333333333333333,0.42857142857142855,0.7142857142857143,0.3333333333333333,0,1.0,2,1.0,2,1.0,2
130,261,5,KMB,0.25,0.4666666666666667,0.2,0.3333333333333333,0.6363636363636364,0.3333333333333333,0.0,0.29411764705882354,0.0,1,1.0,4,0.5833333333333334,8,1.0,4
132,96,3,ILP,1.0,1.0,1.0,0.0,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0,1.0,2,1.0,2,1.0,2
133,230,5,KMB,0.3,0.47368421052631576,0.2857142857142857,1.0,1.0,1.0,0.3,0.47368421052631576,0.2857142857142857,0,0.75,4,0.4444444444444444,14,0.75,4
135,29,3,ILP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1,1.0,1,1.0,1
136,379,3,KMB,0.1111111111111111,0.5,0.2,1.0,1.0,1.0,0.1111111111111111,0.5,0.2,0,1.0,2,0.5,4,1.0,2
137,57,3,ILP,0.4,0.6,0.42857142857142855,1.0,1.0,1.0,0.4,0.6,0.42857142857142855,0,0.6666666666666666,4,0.375,6,0.6666666666666666,4
138,254,5,KMB,0.3333333333333333,0.5714285714285714,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.5714285714285714,0.3333333333333333,0,0.7777777777777778,5,0.5454545454545454,7,0.7777777777777778,5
141,370,3,KMB,0.21428571428571427,0.46153846153846156,0.3,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.13333333333333333,0.35714285714285715,0.18181818181818182,1,0.6666666666666666,4,0.2727272727272727,9,0.6666666666666666,4
143,312,4,KMB,0.08333333333333333,0.5,0.16666666666666666,0.42857142857142855,0.7142857142857143,0.3333333333333333,0.08333333333333333,0.5,0.16666666666666666,1,1.0,2,0.5,5,1.0,2
145,11,3,ILP,0.1111111111111111,0.5,0.2,0.42857142857142855,0.7142857142857143,0.5,0.42857142857142855,0.7142857142857143,0.5,1,0.8,3,0.6,3,0.8,3
147,47,3,ILP,0.25,0.5,0.2,1.0,1.0,1.0,0.25,0.5,0.2,0,1.0,2,0.6666666666666666,4,1.0,2
148,116,7,KMB,1.0,1.0,1.0,0.3333333333333333,0.6363636363636364,0.0,0.3333333333333333,0.6363636363636364,0.0,0,1.0,2,1.0,2,1.0,2
150,307,3,KMB,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1,1.0,1,1.0,1
151,257,3,KMB,0.5,0.7,0.5714285714285714,1.0,1.0,1.0,0.5,0.7,0.5714285714285714,0,0.6666666666666666,4,0.4444444444444444,7,0.6666666666666666,4
152,17,3,ILP,0.25,0.5,0.2,1.0,1.0,1.0,0.25,0.5,0.2,0,1.0,2,0.6666666666666666,4,1.0,2
154,149,3,ILP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1,1.0,1,1.0,1
156,186,5,KMB,1.0,1.0,1.0,0.3333333333333333,0.75,0.3333333333333333,0.3333333333333333,0.75,0.3333333333333333,0,1.0,1,1.0,1,1.0,3
158,357,9,KMB,0.4,0.6666666666666666,0.3333333333333333,0.3888888888888889,0.6875,0.2857142857142857,0.2608695652173913,0.55,0.18181818181818182,1,1.0,4,0.625,8,1.0,5
160,132,11,KMB,0.18181818181818182,0.5769230769230769,0.26666666666666666,0.42105263157894735,0.7058823529411765,0.16666666666666666,0.02857142857142857,0.46153846153846156,0.06666666666666667,1,0.9333333333333333,5,0.5,14,0.9166666666666666,2
161,144,3,ILP,0.16666666666666666,0.8,0.5,0.0,0.6,0.0,0.0,0.5,0.0,1,1.0,1,0.75,2,1.0,1
